super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,unitid,year,fips_ipeds,slevel,fourcat,public,private,forprofit,selective,more_selective,non_selective,total_enrollment,col_white,mkt_white,dif_white,col_hispa,mkt_hispa,dif_hispa,col_black,mkt_black,dif_black,col_asian,mkt_asian,dif_asian,col_amind,mkt_amind,dif_amind,col_pacis,mkt_pacis,dif_pacis,col_twora,mkt_twora,dif_twora
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2009,New York,4-year,Public Selective,1,0,0,1,0,0,8821,9.840154,36.07042,-26.23026,51.18467,22.85473,28.32994,29.79254,18.76245,11.03009,5.04478,7.569309,-2.52453,0.0566829,0.2415355,-0.1848526,NA,0.0249203,NA,NA,2.111838,NA
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2010,New York,4-year,Public Selective,1,0,0,1,0,0,8810,9.545971,33.35515,-23.80918,52.24745,24.39015,27.8573,29.03519,18.54282,10.49236,5.346198,8.300902,-2.954705,0.045403,0.5981453,-0.5527424,0.0908059,0.0655075,0.0252984,0.215664,3.378307,-3.162643
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2011,New York,4-year,Public Selective,1,0,0,1,0,0,8948,8.85114,33.88139,-25.03025,51.01699,24.24065,26.77634,30.45373,18.35776,12.09597,5.084935,8.304826,-3.21989,0.033527,0.3210993,-0.2875722,0.1452839,0.0568641,0.0884198,0.3017434,2.52719,-2.225446
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2012,New York,4-year,Public Selective,1,0,0,1,0,0,8853,8.720208,33.51322,-24.79301,52.47939,24.48424,27.99515,28.45363,18.42846,10.02517,5.591325,8.359734,-2.768409,0.1016605,0.3422741,-0.2406137,0.1807297,0.0483634,0.1323663,0.3275726,2.696004,-2.368431
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2013,New York,4-year,Public Selective,1,0,0,1,0,0,9020,7.195122,33.14415,-25.94903,54.07983,24.62367,29.45615,27.97118,18.38156,9.589616,5.886918,8.344731,-2.457814,0.1330377,0.3597952,-0.2267575,0.2217295,0.0532154,0.168514,0.4545454,2.808919,-2.354374
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2014,New York,4-year,Public Selective,1,0,0,1,0,0,9417,6.913029,32.65077,-25.73774,54.60337,24.69227,29.91111,27.77955,18.2618,9.51775,6.169693,8.404312,-2.234619,0.2017628,0.379568,-0.1778052,0.2123819,0.0452591,0.1671228,0.5203356,3.085036,-2.5647
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2015,New York,4-year,Public Selective,1,0,0,1,0,0,9874,6.198096,32.49304,-26.29494,55.21572,24.74439,30.47133,27.99271,18.13278,9.859932,6.157586,8.5648,-2.407214,0.1721693,0.3728444,-0.2006751,0.1822969,0.0458504,0.1364466,0.6481669,3.065362,-2.417195
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2016,New York,4-year,Public Selective,1,0,0,1,0,0,10311,5.80933,32.45039,-26.64106,57.02647,24.76975,32.25673,26.79662,18.00928,8.787349,6.16817,8.600114,-2.431944,0.1842692,0.3744934,-0.1902241,0.1842692,0.0461854,0.1380839,0.8049656,3.227966,-2.423
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,190637,2017,New York,4-year,Public Selective,1,0,0,1,0,0,10949,5.489086,32.39016,-26.90108,57.61257,24.81254,32.80003,26.52297,17.93096,8.592007,6.101014,8.685219,-2.584206,0.2009316,0.3661325,-0.1652009,0.2100648,0.0512416,0.1588233,0.8950589,3.254461,-2.3594020000000002
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5,166656,2013,Massachusetts,4-year,Private Selective,0,1,0,1,0,0,3808,38.57668,66.46638,-27.88971,2.468488,11.96231,-9.493824,4.67437,7.699408,-3.025038,26.02416,5.465112,20.55905,0.1838235,0.2474165,-0.063593,0.0262605,0.0489281,-0.0226676,0.8140756,3.196202,-2.382126
